"","mz","rt","GD_020_NIST_RPN_RRHD_B1.mzML","GD_021_NIST_RPN_RRHD_B1.mzML","GD_024_NIST_RPN_RRHD_B1.mzML","GD_026_NIST_RPN_RRHD_B1.mzML","GD_028_NIST_RPN_RRHD_B1.mzML"
"group","mz","rt","nist","nist","nist","nist","nist"
"M385.1683T262.2","385.168341921353","262.22200000002","143764.067885742","146488.516480929","139168.792055151","137594.453978771","131120.314423479"
"M391.2849T431.5","391.28485656128","431.469","204496.000098783","199652.997777478","193235.507887864","193366.951176446","197929.398561665"
"M393.1554T239.3","393.155377872038","239.269561767578","50868.6032578883","51306.6833739292","50264.3007310433","49265.9250573956","53881.7800335055"
"M395.1628T264.6","395.162805738293","264.603271484375","67160.0188484563","68432.2893952281","68498.577223826","64824.7910885373","58699.361577559"
"M397.1684T606.2","397.168394224534","606.177703857422","248400.352711958","245606.006606559","232782.987404992","238666.7687899","235166.011387755"
"M397.2059T313.2","397.205895716969","313.178436279297","3219846.62176242","3064179.34562983","3023302.47154591","3040710.2607154","3004451.08794596"
"M397.2226T419.3","397.222620134725","419.33599999998","117296.036720176","120989.800007556","115470.935296749","116117.75867733","121274.76687457"
"M399.1848T329.6","399.184758347327","329.559478759766","30329.3337174478","35072.1426333283","32203.4357649742","28544.2871961194","38318.8563533741"
"M399.2067T313.2","399.206676844519","313.178436279297","206044.702723894","206843.354300495","204196.861890716","209166.231673933","201315.433670759"
"M411.3841T644.4","411.384059917935","644.39800000002","335875.32541631","335497.210497736","332841.742828085","341205.147199866","337322.680656197"
"M423.3473T598.9","423.347344655282","598.89794921875","423308.681160528","413973.470841797","403357.000164145","412487.996649017","467141.964377283"
"M425.3632T609.2","425.363217980949","609.210571289062","596916.811350887","604442.895100228","592633.370617373","586528.599187534","605350.285502015"
"M433.3318T598.9","433.331802887897","598.89799999998","240827.551632903","250095.750102041","237066.254364694","233553.169207492","243377.83294029"
"M437.3269T550.4","437.326877362362","550.368041992188","228421.005318644","196103.710329206","229132.465822748","217712.095586977","197307.459317376"
"M441.3945T613.5","441.3944591275","613.456726074219","128548.910962824","131228.034822364","133532.929377576","134112.694095163","137270.897072567"
"M445.3321T599.5","445.332141485299","599.503845214844","2856418.51074378","2784459.97308469","2729936.80419288","2720892.05169452","2779789.25411818"
"M447.3472T600.1","447.347162276725","600.111755371094","813458.501622312","798833.061239059","769605.166525483","810562.465903488","799264.538662496"
"M450.2594T458.8","450.259429509035","458.768432617188","298370.646519941","299215.697965622","288042.04909565","288110.047449082","293774.054662525"
"M463.341T521.9","463.34100021281","521.857971191406","289208.259573186","228781.353288264","220630.338047422","326159.995265951","224935.205681025"
"M469.226T305.3","469.22597747208","305.292","59976.0324456944","56399.8763273103","59401.1450671216","58145.7452466351","55207.8036796558"
"M471.2412T314.4","471.241242816621","314.391418457031","64481.2912133788","64526.7844086521","65903.6019924329","70847.5069691087","64509.0223804819"
