"","pos","rt","neg","rt","diffmz","diffrt","cor"
"1150",469.328571838932,597.065734863281,467.309265508967,598.29100000002,2.01930632996505,-1.22526513673893,0.999537888896526
"1151",470.331406637575,597.064575195312,468.311695158742,598.897827148438,2.01971147883302,-1.83325195312591,0.979265613755548
"1153",472.274596266085,434.489074707031,470.25788921854,440.569396972656,2.01670704754497,-6.080322265625,0.925887865731813
"1155",476.277178034477,456.32800000002,474.261865770211,456.948120117188,2.01531226426602,-0.620120117168028,0.998905860632411
"1156",478.293857247997,479.379241943359,476.278406329423,478.787811279297,2.015450918574,0.591430664061988,0.999419228389705
"1161",479.296420485848,479.37912097168,477.281244406166,478.787811279297,2.01517607968196,0.591309692382993,0.999613097487031
"1162",480.299026044889,479.379241943359,478.283686049133,478.787811279297,2.01533999575599,0.591430664061988,0.997274399367999
"1164",480.309692987717,505.464065551758,478.293729357938,505.479156494141,2.01596362977904,-0.0150909423830399,0.999692648480466
"1167",481.312531668979,505.464050292969,479.296905715602,505.479156494141,2.01562595337697,-0.0151062011720455,0.999230630944322
"1169",482.293608937012,341.677062988281,480.278438231671,336.2294921875,2.01517070534101,5.44757080078102,0.992852798669246
"M480.3094T537.6",482.324628539777,537.614929199219,480.309378796661,537.628967285156,2.01524974311599,-0.0140380859370453,0.999472351278365
"1181",490.352049963335,421.751007080078,488.330814578235,427.829864501953,2.0212353851,-6.078857421875,0.932578662486292
"1190",500.277101794669,457.541015625,498.261946297013,458.160461425781,2.015155497656,-0.619445800781023,0.997094769971025
"1191",502.293556085868,481.19899999998,500.278258612076,480.606872558594,2.01529747379197,0.592127441386026,0.996773834479642
"1192",503.296472054603,481.19899999998,501.281132271538,480.60700000002,2.01533978306497,0.591999999960024,0.997097153089894
"1195",504.299249057764,481.19899999998,502.283507456018,480.606872558594,2.01574160174596,0.592127441386026,0.999779801709279
"1198",504.30887215582,496.972015380859,502.29297882002,496.986026733398,2.0158933358,-0.0140113525390007,0.995041521562015
"1201",505.312897014618,496.971,503.296759749489,496.986,2.01613726512898,-0.0149999999999864,0.99309764611967
"1212",526.300016165299,488.47900390625,524.277719996391,480.001003540049,2.02229616890793,8.478000366201,0.989159323874688
"1213",527.299799729856,480.593017578125,525.280822295867,480.00100000002,2.01897743398899,0.592017578105015,0.99397290721972
"1214",528.302434380924,480.593017578125,526.284159171725,480.000854492188,2.01827520919892,0.592163085936988,0.970817969097191
"M526.2931T492.1",528.317054212322,493.332000732422,526.2930853805,492.133087158203,2.023968831822,1.19891357421898,0.956766030227209
"1215",531.219830407189,411.437408447266,529.204619982944,411.450256347656,2.01521042424497,-0.0128479003899997,0.999144007868294
"M543.3452T564.9",545.36139546022,564.912292480469,543.345187320155,564.926940917969,2.01620814006503,-0.0146484375,0.99320924709884
"1237",556.318803569671,474.526275634766,554.301206692935,472.114898681641,2.01759687673598,2.411376953125,0.993489182563554
"1238",561.412586359176,580.079223632812,559.397198276605,580.699035644531,2.01538808257101,-0.619812011718977,0.989236454206151
"1239",562.415972609356,580.079162597656,560.400335592691,580.699035644531,2.01563701666498,-0.619873046875,0.992658600723816
"M561.1416T411.5",563.156887663748,411.437408447266,561.141607607078,411.450225830078,2.01528005667001,-0.0128173828119884,0.989648682556537
"1240",564.432154224657,595.851623535156,562.415896631817,596.47265625,2.01625759284002,-0.621032714843977,0.939463275117791
"1245",568.346720067261,339.85699999998,566.330116631861,339.869445800781,2.01660343540004,-0.0124458008010038,0.980020239850806
"1248",575.502609777315,701.403991699219,573.486950363385,704.45299999998,2.01565941393005,-3.04900830076099,0.947078218917902
"1249",582.457565437895,688.666320800781,580.4420193065,686.86083984375,2.01554613139501,1.80548095703102,0.995803386368581
"1250",583.254913065294,546.107788085938,581.239802976027,547.333801269531,2.01511008926695,-1.22601318359307,0.998276809835758
"1256",588.279911867724,552.173706054688,586.264011854905,552.187927246094,2.01590001281897,-0.0142211914060226,0.993796612641394
"1258",593.332715533228,344.710052490234,591.317241042376,345.32899999998,2.01547449085194,-0.618947509746022,0.954416314163202
"1267",602.267961400615,342.284332275391,600.252175931376,342.903106689453,2.01578546923906,-0.618774414061988,0.944381941812576
"M605.2374T552.2",607.252630467276,552.173853027344,605.237434395608,552.187927246094,2.01519607166802,-0.0140742187500109,0.999743706500626
"1270",608.255586328728,552.173706054688,606.240360644948,552.187927246094,2.01522568377993,-0.0142211914060226,0.999908072086433
"1275",617.47534403892,612.23095703125,615.459654402693,614.063842773438,2.01568963622697,-1.83288574218795,0.999577728660908
"1276",618.47835804348,612.23095703125,616.463042532994,614.062744140625,2.01531551048595,-1.831787109375,0.99767570265151
