"","mz","rt","GD_010_NIST_RPP_RRHD_B1.mzML","GD_011_NIST_RPP_RRHD_B1.mzML","GD_013_NIST_RPP_RRHD_B1.mzML","GD_016_NIST_RPP_RRHD_B1.mzML","GD_018_NIST_RPP_RRHD_B1.mzML"
"group","mz","rt","nist","nist","nist","nist","nist"
"M823.6795T830","823.679476131719","830.008056640625","63317.0326035925","59611.9316748685","76049.8981389568","76942.0252073109","75582.6880692967"
"M833.651T739.6","833.651030880931","739.62199999998","2323188.21154008","2282472.49247888","2281340.41673311","2298692.65326383","2280776.63946984"
"M837.618T727.5","837.617961825729","727.489135742188","742686.621284467","805557.736170152","806440.515908634","801214.726436839","808643.770106957"
"M837.6811T777.2","837.681061325375","777.233032226562","415212.45675349","423425.178544966","438050.393183091","428687.003066119","426188.541067869"
"M838.6305T738.4","838.630462303729","738.40900000002","570104.104764618","541578.615604975","554423.000798105","543491.925611613","565119.670256574"
"M856.5824T718.4","856.582444988822","718.389953613281","518787.797289153","594966.479925833","518917.418545096","518011.147310407","521421.252172456"
"M873.631T679","873.631021914852","678.959106445312","30126.5449602393","29648.7229721682","35830.0085810226","32091.5895557305","31590.6950505164"
"M878.5848T737.8","878.584772728945","737.802368164062","173469.196887451","171908.288633546","170830.803664161","173901.298051961","168235.206476024"
"M887.5644T732.3","887.564366820555","732.343444824219","218108.126111321","234661.786156512","215945.639836081","232058.845110659","225224.87387256"
"M915.6092T755.4","915.609184947513","755.394","161050.948219299","154958.342839462","158283.372660976","168980.640256639","151681.309644071"
"M929.6923T729.9","929.692312409011","729.916320800781","52134.3500855474","55308.1061919554","46701.1798542033","44305.1773694944","52506.1878581766"
