"","mz","rt","GD_020_NIST_RPN_RRHD_B1.mzML","GD_021_NIST_RPN_RRHD_B1.mzML","GD_024_NIST_RPN_RRHD_B1.mzML","GD_026_NIST_RPN_RRHD_B1.mzML","GD_028_NIST_RPN_RRHD_B1.mzML"
"group","mz","rt","nist","nist","nist","nist","nist"
"M369.1746T315","369.174643960559","314.998413085938","6872062.84220601","6759464.33787967","6566132.57908003","6527449.39766801","6667470.37707714"
"M369.174T342.3","369.174042012624","342.2958984375","929457.624887403","918963.915298945","902448.123828869","902363.728929034","907446.085003124"
"M381.1735T605.6","381.173522044038","605.571655273438","717298.040622469","701910.880806306","671470.956838279","674154.389209074","680175.590609728"
"M383.1535T256.1","383.153537663127","256.121948242188","1208122.76827648","1149636.46007038","1123692.08733468","1163975.50344671","1134892.20550364"
"M385.1691T242.9","385.169095568272","242.870025634766","688700.202799189","718784.02651892","622881.922007642","608678.257805859","696471.28493457"
"M391.2849T552.8","391.284885369984","552.794921875","318023.779690222","307047.225294142","296323.464965624","300468.84378047","315898.380264122"
"M397.0033T110.6","397.003309957194","110.564002990723","212846.815860916","194141.02364386","205039.637749043","197832.034688581","194664.455256031"
"M397.15T233.3","397.150044526354","233.277130126953","126459.372032167","119281.016829201","121576.517799187","114711.506109682","121341.995544067"
"M397.3684T628","397.368442992079","628.018127441406","220567.989174378","223768.829885127","213393.752007989","220843.357704243","223474.396985709"
"M411.3841T644.4","411.384059917935","644.39800000002","335875.32541631","335497.210497736","332841.742828085","341205.147199866","337322.680656197"
"M413.2005T285.9","413.200511628055","285.871124267578","1582496.4770448","1502399.07615018","1465346.71008676","1531895.65195209","1586294.96795079"
"M413.3624T609.2","413.362424278875","609.212219238281","51963.8553881227","57970.2644560674","54633.1995753681","53754.5768902494","53620.4386415942"
"M421.3319T586.2","421.331874693837","586.158996582031","555845.505929488","554320.236881242","362157.360781321","544061.323721434","541764.896895251"
"M421.3681T628","421.368143317011","628.014526367188","95132.9041031367","96944.8249858778","90651.8247761065","94053.0262268031","106251.552559866"
