"","mz","rt","GD_020_NIST_RPN_RRHD_B1.mzML","GD_021_NIST_RPN_RRHD_B1.mzML","GD_024_NIST_RPN_RRHD_B1.mzML","GD_026_NIST_RPN_RRHD_B1.mzML","GD_028_NIST_RPN_RRHD_B1.mzML"
"group","mz","rt","nist","nist","nist","nist","nist"
"M227.0016T209.6","227.001593620528","209.555419921875","59449.635995691","58448.8224943867","50711.5082002807","50154.8772492999","62907.5756523252"
"M227.038T271.3","227.037969496261","271.282104492188","180989.972799106","173886.570447907","168981.279859701","228255.961879412","164722.57026118"
"M227.1286T321.1","227.12859742427","321.064880371094","196045.685335602","190979.444654191","191325.979360978","190132.788713637","193116.459627471"
"M229.0174T188.5","229.017366907174","188.519653320312","50788.7773925537","46062.7479776195","52543.3572930935","52483.1985816973","46935.3827383881"
"M229.0539T282.2","229.053933556018","282.224243164062","718528.975760289","721852.224618163","706144.384777716","725320.601737136","718818.340997993"
"M229.0868T335.6","229.086817814637","335.623016357422","60227.0468493548","61983.4785612175","60157.2694589022","60876.6499075561","56532.6206592053"
"M229.1444T337.4","229.144400894774","337.442996582031","174400.054134799","175227.339571497","220364.972593819","170574.904888062","175062.565625554"
"M230.9505T51.5","230.950529794105","51.4571151733398","51130.0165868042","45640.9449605038","46580.4389311568","45017.4267503459","49941.1124487684"
"M232.9731T64.4","232.973126439247","64.4294586181641","7903.98858479817","12243.9769382812","10702.6531957012","11850.4372185834","12129.3516600769"
"M232.9947T181.4","232.994676592671","181.392364501953","66992.5172006348","68141.4715152982","64124.8111476024","61936.4044943831","61036.2501820564"
"M234.9706T64.4","234.970609489731","64.4294586181641","4648.1696475791","8191.23145993963","7577.51329637468","7745.19850216722","8263.98840960221"
"M234.9836T284.7","234.983633909973","284.655899047852","219432.403916512","213870.882134839","206353.19843466","218248.182351736","212812.396313283"
"M236.9492T239.9","236.949216825747","239.880889892578","45895.9638461415","40191.6666951781","39927.6190170044","36654.1806818014","35638.5197408171"
"M237.0225T267.6","237.022493659045","267.637084960938","163513.117604442","163441.828139509","165234.418111659","160736.467678379","148063.848369663"
"M239.0594T48.3","239.05940680165","48.298583984375","23548.7709110172","25340.7981764687","23106.3638335914","24362.5753844792","23435.9744108073"
"M239.0929T337.4","239.092871861098","337.442993164062","2148368.05370582","2218507.2031068","2114626.68133804","2130739.09875785","2209932.74810996"
"M239.165T423.6","239.164967170781","423.582641601562","81142.9366448679","81507.3605475903","77377.883644111","78312.0264456652","75502.5777400306"
"M239.5869T257.3","239.586890887923","257.331268310547","118119.172109278","107118.900726825","133222.169834577","130018.332850928","109489.665171533"
"M240.9133T236.7","240.91333298294","236.74000000002","498942.962388251","489436.719459702","497435.503649953","513212.233431545","495076.852659242"
"M241.0859T345.9","241.08594599261","345.935333251953","261727.911096098","290511.219632595","301898.028220924","277836.071707205","302970.288359374"
"M241.1442T340.5","241.14418367633","340.475982666016","241280.26252997","230858.473812891","233530.387166217","231278.120656518","298177.889146598"
"M241.1805T450.9","241.180534016374","450.881927490234","155202.48459318","149886.413046399","144298.946190663","116751.853994254","120072.644616054"
"M241.9206T65.1","241.920630644751","65.067","289957.848910524","196427.929427119","213686.957842989","203149.837195616","195990.209316676"
"M243.033T231.3","243.033006743184","231.28000000002","88839.3456228931","90041.225248169","83297.2818462891","91611.4381199984","85039.0088043039"
"M243.0639T34.1","243.063913252493","34.12999999998","23766.2624486206","22902.2101526045","22593.2675992753","23418.7215590994","23527.8611824334"
"M243.1961T471.5","243.196099356458","471.507400512695","148493.151228846","149801.215657075","145525.65384839","146318.918262451","143971.079509665"
"M243.9178T65.1","243.91779914507","65.067","176568.828341284","126159.509901628","137594.623646574","128263.61718447","126921.71459061"
"M244.908T293.2","244.907986847263","293.159912109375","261206.206864848","268275.814069891","258033.80443819","261550.770933964","264583.77504366"
"M245.0122T210.6","245.012193806571","210.638634338389","75027.5734119566","72586.1199288463","78691.510601876","74622.4326872127","66386.7165859442"
"M249.1856T415.7","249.185617317447","415.69600000002","13092.9188919671","15080.3996631593","13766.411090932","15573.8008264856","14701.8040312499"
"M251.0381T287.1","251.038088179335","287.086791992188","128940.182376413","118350.902639782","117623.049265982","118430.389464435","116016.570081244"
"M251.1287T337.4","251.128651704313","337.442993164062","116463.135096932","119599.571255405","111970.236650643","111189.964374401","118149.002006178"
"M253.0534T298.6","253.053392380044","298.618957519531","77543.407289104","70332.4005612287","66120.2984959144","67639.3801009279","62175.7491369808"
"M253.0828T421.2","253.082804654933","421.156555175781","531110.633142482","532324.748992054","519943.017242272","536593.162433202","539454.57294518"
"M253.1442T350.8","253.144197801059","350.788482666016","100298.063316372","99567.7416938307","101860.673464796","96739.6351117044","100162.907678745"
"M254.6234T319.2","254.623380435555","319.244491577148","213601.98633812","189978.922922133","206684.426405406","208476.455852237","185739.096394622"
"M255.0873T231.3","255.087322828816","231.28000000002","224917.17226463","226001.839528368","223738.825394339","222293.277628186","231283.912434746"
"M255.16T368.4","255.159958187774","368.38000000002","184178.593912734","178116.606322483","179229.086077851","176276.976600925","186598.345317358"
"M255.2328T594.7","255.232847425074","594.651550292969","514927.225403515","501789.218744763","535321.448597656","561121.209765469","513520.511590312"
"M257.012T245.9","257.012009137152","245.875991821289","60707.4684891121","55212.5486291024","52567.2536502326","54769.9957488281","56458.8861326933"
"M259.13T74.5","259.130044011392","74.4596710205078","38188.7058321155","36889.6680176903","38433.8070940862","42394.04347029","38020.9399634463"
"M261.0414T48.6","261.041363264287","48.5696678161621","57993.7705220085","61107.9218980888","62654.4994105057","62327.6258038817","58147.2865612278"
"M262.8391T468.5","262.839102528681","468.474548339844","13626.9738000255","13481.0284530584","13709.6987961124","13424.9911695373","11733.8695266906"
"M262.8962T239.9","262.896156042792","239.880889892578","92087.8132198335","89170.9949805107","82437.0064948044","85578.96350438","90564.7945036377"
"M263.8868T239.9","263.886760218835","239.871459960938","137305.749230655","143088.289930163","126851.297101059","127732.791709424","139095.710169686"
"M264.8903T298","264.890332539286","298.01299999998","27257.6645964843","27422.3905157864","24244.5049117706","25037.7523995779","27532.1374019744"
"M264.8932T239.9","264.893206275302","239.871459960938","59197.9012656389","58128.4934144353","55923.7194219021","54824.1880825098","60012.8722587941"
"M265.0846T236.3","265.084604965368","236.278610229492","23434.6241959808","27048.0639840489","22352.2428528932","20940.1997449906","22251.7038677608"
"M265.1441T358.1","265.144081577628","358.066711425781","61101.8582780762","60537.8426666693","72106.4884606414","100411.708337402","64532.6638315388"
"M266.8039T33.7","266.803864494498","33.7181091308594","129996.494128632","131448.129140059","113726.623874991","113252.605242198","127239.218962169"
"M266.888T298","266.887994412277","298.012969970703","33216.1920013546","34368.1444655885","34638.0114430237","32300.860832386","34657.3457824217"
"M266.8909T239.9","266.890882184286","239.871459960938","10121.2745827336","10777.5183353015","8977.36665506275","9802.2763283486","8802.83952761366"
"M267.0694T321.7","267.069371457291","321.6708984375","48487.556095306","44238.2876146337","45771.8688521295","42988.7631197918","41521.022245643"
"M267.1239T395.1","267.123933852591","395.07100000002","1480829.89901921","1522329.4256853","1463338.39379727","1499017.34637382","1503427.13042206"
"M269.0781T337.4","269.078085325099","337.442962646484","54043.4722470703","53369.8317730589","51111.922848987","51029.3610794613","49537.14842401"
"M269.2118T490.9","269.211773859927","490.920013427734","104981.753840886","107910.964062182","97545.7857802365","101873.523796879","104299.186191999"
"M269.9611T56.8","269.961114853822","56.8474426269531","59448.8748258546","58848.8967967949","57833.1509858005","51554.1293704217","56988.0544724908"
"M271.1549T307.1","271.154886650958","307.11199999998","19743.4987564655","19275.3034103201","17175.4038708075","20220.7787149926","19793.4155537338"
"M274.1117T211.8","274.111689932068","211.817611694336","17488.4245777009","17654.4080203491","17270.525275007","17956.4564487684","16364.9203958833"
"M276.8332T33.7","276.833199723214","33.6898956298828","42939.9214894118","38964.7899738513","33739.4723530387","37240.4978922583","37601.226363829"
"M277.1444T433.9","277.144356555921","433.896087646484","605507.639703589","590332.193964188","567085.994591155","583304.885408304","590120.137748265"
"M277.217T554.6","277.217011262177","554.614929199219","170615.843146728","169978.724249618","165749.933844465","169676.684076543","167638.866337408"
"M278.9151T267","278.915062278425","267.029541015625","18160.275231936","15624.2112317138","14905.9447054036","14919.1637244874","13921.2643213346"
"M279.2328T578.3","279.23283261886","578.273071289062","880334.011144563","862520.558512793","805694.799534875","829388.38737765","887083.584372835"
"M280.1247T370.2","280.124685524772","370.200012207031","86247.2035209484","71295.331537875","71911.269022166","78866.2027630686","36575.1717079499"
"M280.6225T308.3","280.622475022589","308.325454711914","363115.544058344","356931.544391653","357495.420204573","366457.814256116","345621.960544018"
"M281.1032T285.3","281.103232332872","285.263549804688","177645.23050342","178462.173762321","176716.282245868","174925.46038638","178075.795983397"
"M281.1241T308.3","281.124110290614","308.325408935547","113169.373042236","111472.424123178","106602.804717687","103361.541245508","121217.074175642"
"M283.0699T534","283.069886787991","533.988952636719","32549.3317518101","30750.5584719261","32248.4891500456","31438.2554774169","33617.7019786902"
"M283.1037T36.2","283.103676015268","36.2451705932617","60280.2080579329","62696.6960426148","57234.6608769692","66425.274435955","63181.0552781404"
"M283.1701T512.8","283.170116197072","512.758056640625","53188.4779296866","53937.5384722415","55983.7141902084","50231.9236838355","53071.2393578348"
"M283.191T412.1","283.191022371667","412.057250976562","139784.423867653","114093.208795192","118311.937127021","115634.623599913","109733.422460711"
"M283.2642T636.5","283.264158876698","636.51199999998","388879.022992458","391350.994623414","448382.42528363","453499.223494609","399412.282127181"
"M284.2226T486.1","284.222636082865","486.06700000002","58783.9388698179","54907.8143946767","56433.8251789354","57593.0583806089","58847.8385278072"
"M285.2068T434.5","285.206789349717","434.502","145269.662206808","144998.143030294","147724.742367948","138869.459889792","147284.230548686"
"M289.8973T75.2","289.897311677368","75.1765289306641","229605.323219197","261866.613676405","240179.08599161","241317.814959653","250370.024021671"
"M291.0361T303.5","291.03614202234","303.472381591797","27664.6982127487","26076.8699118369","28050.0716152692","23860.8065474887","27213.5497786598"
"M291.0667T254.3","291.066670092598","254.308837890625","19204.8250063721","20208.9261552963","23744.2769997278","19850.2879066023","20871.8175071144"
