"","mz","rt","GD_012_matrix_RPP_RRHD_B1.mzML","GD_014_matrix_RPP_RRHD_B1.mzML","GD_015_matrix_RPP_RRHD_B1.mzML","GD_017_matrix_RPP_RRHD_B1.mzML","GD_019_matrix_RPP_RRHD_B1.mzML","GD_010_NIST_RPP_RRHD_B1.mzML","GD_011_NIST_RPP_RRHD_B1.mzML","GD_013_NIST_RPP_RRHD_B1.mzML","GD_016_NIST_RPP_RRHD_B1.mzML","GD_018_NIST_RPP_RRHD_B1.mzML"
"group","mz","rt","matrix","matrix","matrix","matrix","matrix","nist","nist","nist","nist","nist"
"M325.967T36.5","325.966974293109","36.54400000002","170.902429155153","294.477414878463","0","0","0","23581.5783711423","22327.8150013205","21488.3959604781","21190.3267346056","21263.9546201256"
"M328.2304T381.1","328.230350130954","381.10699999998","0","522.877493067272","0","0","0","61608.8172128623","61188.4850467294","56366.8882579467","64773.3002702713","66636.5632621361"
"M331.0922T113.6","331.092156137759","113.584846496582","0","156.055006794113","0","0","0","23614.9500605438","23087.0848054819","23673.7159144038","23760.0282489258","25067.2367448029"
"M331.2477T384.1","331.247688470403","384.140472412109","363.858166619289","411.307394194709","0","267.110210869579","0","72542.97544075","74860.7808865374","72344.1464255544","73202.4500662828","73108.4465216752"
"M332.2616T426.6","332.261602248566","426.6025390625","0","0","128.869302713117","0","0","124988.385348171","120515.032666299","115092.020583868","120433.762644642","117226.084532855"
"M336.0527T336.8","336.052703968118","336.824096679688","0","0","864.799860044679","237.913784948813","0","150116.985967968","125853.947638654","117227.117942337","119730.56944141","105595.050035412"
"M336.2209T594.6","336.220908732248","594.638610839844","37414.9889113517","31469.8783224936","34416.9619276099","34182.4917927218","36546.3321710441","289913.343199586","293344.111549021","320260.164925325","296715.642203205","294338.807236266"
"M338.1663T51.7","338.166285722058","51.7100067138672","0","0","0","0","0","39256.9837232781","39641.4344789319","41784.1694306209","63463.2482524954","48145.2363673021"
"M339.2501T447.2","339.250050969998","447.22900000002","3246.84450851843","6882.53139120443","4438.81713967877","1742.87134215874","5354.02606809033","57585.6427939369","54485.1693073296","57027.7113917362","48769.0547835938","53398.8925080345"
"M343.1879T512.7","343.187925523648","512.743957519531","0","0","0","0","0","269548.903918581","272763.194309729","273089.712523861","276557.167861696","264521.807761278"
"M345.1483T85.7","345.148328670626","85.6798248291016","0","0","0","0","0","75841.2118768326","72880.0238681445","44259.9493120422","54391.2624532458","52249.6640490569"
"M347.0873T179.1","347.087259930935","179.103790283203","0","0","0","0","0","29434.9414657646","32036.3220171612","30620.8220596976","29907.1373530217","29751.6320207336"
"M349.183T62","349.18304689978","62.022","18220.4177446501","21868.7889783133","20078.3217156372","26499.0611410922","26151.4651489667","121964.553131874","123905.08321355","110261.296674386","115362.469778144","113656.666403682"
"M350.1778T561.3","350.177803419674","561.273803710938","91553.9815005251","109752.847426724","93517.9597904828","98090.3565489697","64788.3886041552","1184100.21294585","1157590.33213843","926864.294742991","951045.554123761","918990.382880865"
"M351.2504T518.8","351.250433815327","518.809936523438","4824.6483946573","2450.6830927456","2451.20149061591","2568.52086397546","1073.33124286887","107910.621400912","106437.594258435","97194.8243937749","100036.469047193","106118.722594195"
"M353.2296T356.8","353.229606335576","356.842987060547","1056.35306962519","2214.1172071706","465.273109126512","812.495790612143","2848.15164927313","187223.62829276","210601.786880574","195165.839292863","207646.159549087","215639.793185053"
"M355.13T247.7","355.129973841581","247.651000976562","333.30452104567","519.981901184988","513.504458501358","144.927377433716","168.26457852409","300835.85770493","308312.830143458","307156.065783869","308384.944279528","314417.238273809"
"M356.2616T416.3","356.261615693387","416.29099999998","202.982894286513","0","0","0","329.526299637277","97414.9092553717","97280.2884647903","98767.4159262909","94444.1590476975","88398.4752189129"
"M360.274T329.5","360.274005719616","329.545013427734","406.029485194521","339.966343861835","659.150265534777","492.973031384134","936.398795513566","87101.9598603026","83516.8165329901","78276.0518784337","80549.2049879907","79948.8731740988"
"M361.1223T335.6","361.12234342248","335.610980957041","226.909817356383","496.682362550103","416.435394728556","128.069031667649","200.357052793617","114010.846509849","112431.27753457","135835.058039463","107793.963714973","101420.053771433"
"M362.2365T605.6","362.236526485875","605.557861328125","9967.45050697581","8705.59428335611","7118.78738341148","16376.6339975129","13134.1529762706","392956.06952566","399985.204864995","414516.61036779","401037.46889469","390350.260508981"
"M363.1626T62","363.162551791488","62.0219672546387","420.943017839711","2445.82709701056","1316.81778111674","3568.80451587504","4243.98042856547","26210.5852375993","29513.6271526672","22768.9666368312","25804.6049334506","29471.0277115078"
"M364.084T395.1","364.083981787222","395.059417724609","259.487523655733","0","0","0","0","148812.199144177","144145.273365582","137675.96437365","136940.615418225","136754.768173355"
"M364.2983T333.8","364.298292221157","333.790924072266","883.263341624452","2102.04564686729","2634.63972198719","3358.99476463077","5634.13041476245","22838.0814376371","31297.4275442884","27647.2592499849","25470.745145963","29465.6728522147"
"M366.2638T333.8","366.263806725982","333.790924072266","0","137.296369214468","0","142.983506752022","296.700084174238","67863.0077435631","69917.1244595724","66403.3110765254","65578.4659309572","67086.6481421975"
"M370.2575T656.5","370.257549343629","656.514","215.02000627021","300.785482225815","0","302.679144024849","0","1074972.06168509","1085145.09732245","1102161.33318117","1067074.42979815","1041362.3637533"
"M372.3108T536.4","372.310811344465","536.401916503906","1045.55274090836","260.790929097358","162.807093599992","177.144162925363","156.132992768969","63151.6950310057","65285.6745858949","68521.091753044","61719.15669939","65414.4555444144"
"M373.2112T576.4","373.211187166179","576.439543457021","387.66490667456","0","0","0","0","33813.4504658117","36992.8354215084","26637.5296858888","29701.6797531547","28543.097387109"
"M375.1587T214.3","375.15871775623","214.287124633789","0","0","0","137.01115368458","0","98914.7385785334","98297.7699566162","98247.1452176513","90663.1694611863","94603.7914035044"
"M378.2401T431.5","378.240128246359","431.456024169922","1774.32230700599","2301.68486844517","529.879022447742","2040.96246974318","1470.76888599208","145665.06039356","164151.389437674","151208.193464767","151220.574225665","150455.52435069"
"M380.2099T605.6","380.209861227977","605.557830810547","70075.7476641569","80895.3682560591","84317.1002934931","82615.8446484439","124329.934153169","1933694.50607073","1929125.07483484","1929639.96574949","1918421.80244453","1903880.76599171"
"M380.2559T463","380.255913757801","463.000549316406","14990.3511404088","16148.4927818861","4255.89323959411","21516.4242294074","19364.620685856","353460.923614","417353.264888609","390982.460877181","381526.569930153","385676.999487867"
"M382.2063T605.6","382.20625200259","605.557830810547","31657.9679812394","39035.2245445989","30635.9517063035","26354.4611256117","52991.3748368805","810906.905493663","811449.275040678","804785.201189761","796234.001278244","797644.178450031"
"M384.2741T329.5","384.274062539616","329.545135498047","475.747359958244","157.929471313313","149.684048696732","226.799557170746","484.130940853364","56036.616342208","58202.718224245","53331.3475811335","56780.0251209035","54902.666528853"
"M385.2531T561.9","385.253139859954","561.879760742188","37940.3615057598","52608.7105570746","42294.2683852047","49279.4296144414","23857.4058094807","581372.126298848","576463.473325101","503746.659168686","488267.980346421","479249.442486712"
"M388.1533T67.5","388.153292335448","67.4819030761719","0","0","0","0","0","36513.0966807861","38722.0987418335","37700.3736601867","38644.8682569767","34581.7537451401"
"M392.2794T357.4","392.27940884393","357.448760986328","0","0","209.965951123722","283.193486993023","0","44457.696204184","42201.7445083355","44112.765039133","42992.9928470853","42802.9159509355"
"M397.3098T438.1","397.309786392571","438.129","0","0","0","0","188.752476392873","87229.7021848614","97580.5408539513","81494.1465576266","85055.7700119819","94330.0048130016"
"M401.2662T537.6","401.266195175766","537.614868164062","1004.28355487629","1834.57227908772","997.22956732859","1045.35416384109","1035.4604690222","110497.050624988","108773.82178347","115611.777869835","109843.997550366","108784.023460909"
