"","mz","rt","GD_012_matrix_RPP_RRHD_B1.mzML","GD_014_matrix_RPP_RRHD_B1.mzML","GD_015_matrix_RPP_RRHD_B1.mzML","GD_017_matrix_RPP_RRHD_B1.mzML","GD_019_matrix_RPP_RRHD_B1.mzML","GD_010_NIST_RPP_RRHD_B1.mzML","GD_011_NIST_RPP_RRHD_B1.mzML","GD_013_NIST_RPP_RRHD_B1.mzML","GD_016_NIST_RPP_RRHD_B1.mzML","GD_018_NIST_RPP_RRHD_B1.mzML"
"group","mz","rt","matrix","matrix","matrix","matrix","matrix","nist","nist","nist","nist","nist"
"M394.0745T43.2","394.074503354743","43.2169995269675","0","0","0","0","0","13531.6560204002","14077.2152311298","15271.9406915458","12106.1149596634","14368.0121094705"
"M394.1175T395.1","394.11752874721","395.059417724609","0","0","163.709718258679","140.356608646798","0","19143.5541764322","21332.3425508558","22714.7659483724","18892.2154600884","20122.5915796923"
"M394.2041T514.6","394.204085181067","514.563110351562","1016.87635445781","833.369558957716","2337.60882098787","1827.57346055051","1928.43520631734","33391.7114422745","31413.1980081904","27580.5631319703","27709.0273606937","29831.7284321577"
"M394.2126T80.8","394.212600513394","80.8283081054688","1911.17404903602","4369.13834453929","2022.61591753315","2889.4894393092","3648.85824357591","13261.7505439361","13569.7189856374","10239.8850169373","11731.3917756449","9708.88868873308"
"M394.2162T578.4","394.21617064982","578.401947021484","9743.76574641953","1015.33542396035","4230.7835793402","2296.60558628646","4140.28793351899","865725.092646896","841799.070778892","829876.68866047","833166.447682005","818836.471569434"
"M394.2229T594.6","394.222865817639","594.636993408203","93590.0546608915","95894.2276719808","95102.2037482705","122757.501576464","96674.1702829012","418426.366621297","424705.075657555","431902.499920419","426977.055838089","433681.260574217"
"M394.2587T662.6","394.258685127387","662.580932617188","13187.5110067993","11417.2766185302","16486.9201405261","14128.9059324251","21146.4990354297","100744.851552747","104221.994945389","146023.587516499","113555.357619592","110567.700421644"
"M394.2946T379.3","394.294648408033","379.287994384766","9843.38163605695","5750.4981684075","8267.34621819472","6139.90859868602","11062.0340013393","126793.624512786","118807.632761017","118565.032540882","126171.945089342","125199.000901515"
"M394.2937T617.1","394.293681452628","617.0830078125","701.8877693286","0","1084.8834364906","2705.29163074903","354.545980810001","59833.2945507991","55137.5603858221","56450.5805549392","47464.1805814456","54899.9279425572"
"M394.7454T689.9","394.745387088627","689.878295898438","0","0","0","0","0","22831.5367405048","19382.8829750921","21485.6999555041","16170.2584412574","18946.3841234254"
"M394.7564T663.2","394.756367369008","663.185974121094","0","177.144701263338","0","0","0","72272.9180246188","83344.6087359548","80311.6555718565","79349.4202101461","69512.2102280342"
"M395.1339T242.2","395.133900931094","242.192016601562","0","265.537026921753","251.2472747674","153.949329710682","0","55834.5975915499","57517.7246833413","54857.5966603995","58933.632250564","58116.9142202486"
"M395.1692T238.6","395.169170708734","238.551895141602","0","0","0","165.908069083939","0","23691.4431494814","24123.2905873357","24733.7615532722","26594.2096823668","19917.1104401417"
"M395.1816T335.6","395.181629061089","335.610961914062","251.356973910332","0","353.283291313383","0","0","19000.7301928699","17467.2312023555","18564.1088686523","18548.6470976061","15133.7547718515"
"M395.2206T594.6","395.220579409287","594.636993408203","328557.128205239","335827.048824715","328645.045096215","348100.660426415","357619.216677195","1594681.71097341","1544487.40395727","1353442.13925963","1346587.30182238","1334794.35510825"
"M395.2183T577","395.21834188592","577.046081542969","6775.58315778638","9490.05242296165","6378.09963212162","5953.4846354425","5999.72327530632","252337.085756646","246164.512878571","247350.523015601","239256.85149986","237649.931523229"
"M395.3872T644.4","395.387219465548","644.381408691406","290.049954452261","0","396.541131071323","260.442043012008","171.404933092399","10917.0530094632","13008.647292861","7964.30009476096","9670.20873678588","8733.58684511953"
"M395.7424T689.3","395.742438244986","689.271423339844","0","155.492804137369","146.815992760627","0","0","14544.563535008","10724.8831864649","10868.6833052139","12820.4353831872","9801.90620250163"
"M395.7567T662.6","395.756703328028","662.580932617188","140.257709347487","282.181898380645","0","169.611966556929","0","16255.9854139502","15714.0112856139","15301.275461912","9541.75657745352","13203.7989724764"
"M396.077T35.9","396.076992351722","35.9375019073486","0","0","0","195.404498178986","0","13437.7907205859","16004.6668779011","15444.8618747957","15631.3606998779","14754.7826010052"
"M396.1375T242.2","396.137526076832","242.192794799805","0","0","143.014238413579","702.023369126177","144.085383619958","15568.4148958547","16980.667863842","16981.4094414368","16425.0382313099","15737.6252953215"
"M396.2212T594.6","396.221161147441","594.638610839844","122341.934325523","128976.56858088","132140.487307136","134486.688000163","133309.368619611","561880.191573529","576137.974329509","551959.40555544","548541.280217947","532628.417650564"
"M396.2319T605.6","396.231920309611","605.557830810547","74175.9219054802","65806.2415068399","61918.3669884983","57588.9665119997","71552.8986292862","1157110.7144607","1151744.9519618","1147692.01296696","1146382.7966195","1143156.16522187"
"M396.2366T554","396.236607651507","553.993356689463","427.433523725847","2969.55116538065","1921.96364056447","2237.62434459452","458.535773415239","15601.3727269044","16608.0972504854","21617.3043721937","23040.0033597895","20311.2792547544"
"M396.2742T594.6","396.274170958991","594.635437011719","0","0","1667.29972203573","1915.09179335374","1722.52510706584","56385.9847732071","63091.748149554","61146.4993594685","63665.4716912209","67838.9089239003"
"M396.3102T407.8","396.310158333238","407.797454833984","0","394.830963457511","0","349.199391580794","156.049443120542","33684.9130907461","34370.5245930043","30733.0394640351","35686.6765255372","33716.8577372759"
"M396.3105T392.6","396.310466679854","392.631896972656","141.257878956052","0","196.359266905513","0","144.100610829108","110451.455183889","101665.378333428","91771.3696429571","90469.4173117352","110292.816591292"
