"","mz","rt","GD_012_matrix_RPP_RRHD_B1.mzML","GD_014_matrix_RPP_RRHD_B1.mzML","GD_015_matrix_RPP_RRHD_B1.mzML","GD_017_matrix_RPP_RRHD_B1.mzML","GD_019_matrix_RPP_RRHD_B1.mzML","GD_010_NIST_RPP_RRHD_B1.mzML","GD_011_NIST_RPP_RRHD_B1.mzML","GD_013_NIST_RPP_RRHD_B1.mzML","GD_016_NIST_RPP_RRHD_B1.mzML","GD_018_NIST_RPP_RRHD_B1.mzML"
"group","mz","rt","matrix","matrix","matrix","matrix","matrix","nist","nist","nist","nist","nist"
"M141.9588T447.9","141.958812016401","447.86572265625","5657441.12356758","9348779.42813879","6515983.58757057","7237207.02932705","4532743.98298124","5044499.36520834","5840500.0271766","5710716.50894326","4486051.43396374","5089289.9479875"
"M141.9586T495.2","141.958635916664","495.152069091797","0","0","0","0","0","3492052.12238631","3480559.3093143","3497551.77128396","3388474.93636471","3536946.24621229"
"M141.9586T609.8","141.958609606998","609.804","2774111.15155896","3675689.33123267","3621825.31755476","3289262.92343519","3252262.15142459","3370811.0568803","3203794.93103436","3377197.55167613","3338877.38734303","3778716.45984229"
"M141.9587T542.5","141.958721928913","542.46799999998","1942161.45910814","1993924.54859619","3986483.5270284","3421295.15762577","4649823.35325221","7184970.66693474","7643735.48731795","7403632.64176462","7126271.04492187","7377238.01905312"
"M142.9385T605","142.938473714064","604.950744628906","20911.2287669728","17716.4477447392","17399.9456226026","20445.5734620257","13528.7701834974","167993.270429655","98052.6697208459","177945.076307768","108858.7741642","104671.256533275"
"M142.9389T34.7","142.93889365866","34.72399999998","0","0","0","0","0","219009.206271258","230118.552433301","224077.700760801","222387.620264544","219947.198194196"
"M143.5595T421.1","143.559502218264","421.14400000002","0","0","172.494735286455","0","217.653933285736","43996.9942751991","46285.2753996094","53659.2454153448","47523.6239537914","39331.1924883547"
"M145.0172T606.8","145.017167720441","606.771","676323.441957692","650367.931977682","590943.052562267","635516.222382738","524321.523668995","840715.858534889","812650.438916014","860113.713525158","817120.674162429","797935.631866093"
"M145.0171T594","145.017147308989","594.032897949219","654996.563476941","632260.666141391","638894.86902075","640021.649152741","584918.598415469","809453.981007323","862627.899791135","852745.698304197","813810.185937498","789475.278819233"
"M145.0171T546.1","145.017130356232","546.107727050781","1305086.61208302","1290173.74612675","1275691.90268908","1264836.2970527","1204293.79760155","1117889.81907641","1144594.61072082","1171282.1911154","1099788.6584388","1088922.28119258"
"M145.0172T577","145.017156953791","577.046142578125","592646.723893619","739548.648897836","675142.265143141","663346.935427622","631090.689512809","803620.333280859","852380.500755393","871591.824924568","815767.776332974","823948.454427801"
"M145.0171T637.1","145.017128860709","637.102905273438","657679.870385155","623142.345234451","642473.867034801","611242.716815453","641581.529316245","666493.699128232","652758.028732352","669662.605892417","688105.041043642","654241.593648716"
"M145.0317T34.7","145.031696736592","34.7240028381348","0","1604.31320267498","0","0","0","22642.4032001913","20966.2106987689","22731.5582996168","23887.1581035721","23970.788045409"
"M145.0995T32.9","145.09946670208","32.9040431976318","154281.230386368","160844.813995386","150801.439884999","155840.377499745","155544.923734151","1978.93304835813","0","0","9121.94121306373","0"
"M145.122T403.6","145.121963828026","403.551361083984","18730.159367406","21099.0669180873","16008.2510282776","19797.7361902954","20630.6338708409","21614.3356570313","18504.3169710981","14960.5376521887","18630.4244566919","20963.8461588831"
"M145.5093T314.4","145.509260846611","314.378997802734","20757.0160849226","21333.0698728962","18532.7835530065","24784.4972691705","24404.6913782264","32468.892027951","33302.2848837258","22522.8990690653","25003.7595202423","24804.9011164502"
"M146.0599T208.8","146.059918367812","208.82800000002","0","146.47601309123","269.485294871777","686.903302223515","311.390598495724","30007.0327193732","28549.7301613249","23469.0596425667","24866.4721316887","25917.9115879836"
"M146.0599T117.2","146.059850509095","117.223999023438","0","150.874224159602","127.442377622105","0","0","44638.6098673727","42347.5563574328","44149.4906421491","46612.456810597","46357.9720158294"
"M146.1175T56","146.117503029174","55.9551010131836","621.342134581602","404.999955223792","800.620376806375","0","541.231570020299","175676.639093481","165459.979171269","181901.054905465","174606.703496668","177221.168702235"
"M146.5283T314.4","146.528277934504","314.378998901367","15717.1545812145","20141.9353142918","22911.8271269001","22958.2644246082","24105.5756334439","25589.6765895671","24018.5926247631","32330.9719079396","19556.31649772","19422.0577833878"
"M146.9119T745.7","146.911911887989","745.688537597656","225836.346032407","234336.677035901","238263.560241062","185256.643352845","207056.096134095","80172.8538684153","80825.9062461605","86627.1960129685","83061.481294214","77628.4475686522"
"M147.0027T33.5","147.002743026845","33.5109969787698","0","0","0","0","0","28815.7515877943","26712.7017918756","26699.0176037592","22558.350139158","23053.0212058512"
"M147.0551T86.9","147.055056991077","86.892951965332","10868.5809684877","4702.54793296854","10235.3537505432","12084.6601453301","13773.5922279432","16018.8997263888","14911.9678886339","18451.7536367565","15722.0640822226","16589.9928638591"
"M148.5804T381.7","148.580429249124","381.716567993164","45565.472535526","56936.6718837351","50946.8089693204","54137.3095079832","56670.0972423772","49302.399316498","48649.5220372375","61899.8362416517","49184.1287441645","46264.1571984139"
"M149.0184T35.3","149.01843969793","35.3310012817383","0","0","0","0","0","318902.497309581","318670.666366391","310650.661701978","301589.182441636","305606.770477804"
"M149.0236T314.4","149.023611781795","314.379","654857.894858277","695984.203382418","685093.596055956","834341.375386656","874260.416570258","1089548.66617427","1190701.73302384","820747.659088909","891236.455363654","859039.310979298"
