"","mz","rt"
"559",467.3796,606.3924
"560",792.5806,773.784
"561",804.5796,767.572
"562",774.5429,731.9026
"563",842.5772,730.568
"564",856.6071,730.0828
"565",740.5248,700.116
"566",325.184,687.7406
"567",132.9234,687.7406
"568",144.9233,667.2346
"569",805.5984,664.4442
"570",555.4415,670.2702
"571",923.5269,676.3364
"572",868.5314,680.4608
"573",938.5352,682.4022
"574",892.53,681.7956
"575",411.3841,644.3072
"576",425.1996,642.851
"577",943.183,655.59
"578",575.4675,654.255
"579",975.2006,631.2042
"580",475.1951,636.2996
"581",412.1916,636.2996
"582",307.2873,636.2994
"583",294.9828,108.538
"584",269.0883,78.88975
"585",183.8486,54.701
"586",172.992,50.3035
"587",227.905,35.44125
"588",207.8368,41.6585
"589",147.0665,35.59275
"590",406.718,32.71175
"591",185.9942,33.773
"592",541.1013,431.259
"593",689.4447,430.57675
"594",484.2485,394.33125
"595",371.0742,421.0985
"596",495.2949,356.18025
"597",239.0601,351.17925
"598",266.9887,314.78675
"599",257.1393,311.9065
"600",374.989,327.224
"601",309.1741,439.6
"602",436.1595,479.334
"603",664.2754,461.13525
"604",556.3248,454.917
"605",427.1914,455.67575
"606",697.3061,499.80825
"607",659.1161,503.1445
"608",447.0637,520.8895
"609",362.9782,527.94425
"610",385.1684,262.54325
"611",365.1428,275.88775
"612",294.6201,339.6555
"613",355.0613,336.7725
"614",427.2156,337.9885
"615",231.033,255.607
"616",258.0561,240.325
"617",257.012,245.9265
"618",692.5606,213.484
"619",199.007,188.30875
"620",514.3241,195.664
"621",178.9777,248.795
"622",201.113,284.6095
"623",788.6651,786.2855
"624",713.6096,772.1825
"625",868.6694,808.2755
"626",890.3707,549.70575
"627",482.2744,553.64825
"628",468.2238,553.7995
"629",288.9469,576.5475
"630",467.1893,594.443
"631",465.2006,579.1245
"632",643.3988,578.21525
"633",680.5266,574.87925
"634",454.3611,572.604
"635",661.4281,604.7555
"636",521.4197,603.6195
"637",491.3736,614.46025
"638",680.619,786.0905
"639",697.6098,786.0875
"640",313.0783,752.7755
"641",858.6783,756.563
"642",313.0782,740.1825
"643",840.6007,716.2215
"644",924.5934,717.88975
"645",821.5654,722.28775
"646",927.6158,726.07925
"647",617.5136,697.11325
"648",744.4212,627.807
"649",423.3266,643.42725
"650",549.4535,660.26075
"651",530.4289,663.291
"652",827.6278,689.3785
"653",827.5633,692.25975
"654",773.2066,650.55525
"655",859.1154,647.82475
"656",882.5094,656.318
"657",351.251,636.29975
"658",254.9285,85.5876666666667
"659",187.0076,93.171
"660",178.0807,32.914
"661",386.7153,32.712
"662",247.1701,425.799333333333
"663",462.9627,393.851
"664",539.3403,424.586
"665",289.0721,373.021
"666",360.9899,343.097
"667",251.0958,308.52
"668",431.2118,454.311
"669",616.98,467.454
"670",291.1993,459.770666666667
"671",776.9574,489.9
"672",582.0005,465.229666666667
"673",271.2275,461.388
"674",675.2918,457.141666666667
"675",682.337,474.531333333333
"676",589.3337,473.924333333333
"677",928.5346,500.415333333333
"678",750.3405,523.468333333333
"679",464.2894,531.658333333333
"680",489.2168,282.394666666667
"681",415.2143,296.612
"682",653.2305,295.023666666667
"683",189.1129,251.034666666667
"684",281.0094,235.726
"685",303.2173,290.725333333333
