"","mz","rt","GD_022_matrix_RPN_RRHD_B1.mzML","GD_023_matrix_RPN_RRHD_B1.mzML","GD_025_matrix_RPN_RRHD_B1.mzML","GD_027_matrix_RPN_RRHD_B1.mzML","GD_029_matrix_RPN_RRHD_B1.mzML","GD_020_NIST_RPN_RRHD_B1.mzML","GD_021_NIST_RPN_RRHD_B1.mzML","GD_024_NIST_RPN_RRHD_B1.mzML","GD_026_NIST_RPN_RRHD_B1.mzML","GD_028_NIST_RPN_RRHD_B1.mzML"
"group","mz","rt","matrix","matrix","matrix","matrix","matrix","nist","nist","nist","nist","nist"
"M115.9209T746.6","115.920898366235","746.61201953124","4273279.95679503","5280785.56220702","5534843.691759","5583571.99085667","5124308.81252875","6277564.94149581","5996331.77690945","6436317.60318754","12687107.6546319","6280536.73599625"
"M117.0196T34.7","117.01955300493","34.6973114013672","28025.2075430927","44067.5326604462","45292.0104875275","43534.2838242573","46990.2151011825","89284.2189730339","101155.433242702","100218.383080206","99845.6867816558","101135.386051712"
"M117.0562T65.1","117.05620315754","65.059326171875","888.991333909975","2156.15534905856","1179.58950923123","1848.16462637041","1376.89745099514","2619958.97871703","2239519.45759046","2345893.08630226","2228526.57895424","2226702.62808262"
"M118.0593T65.1","118.059291213879","65.059326171875","0","0","430.091778257062","149.280132522615","0","137167.803144833","128108.999486749","130236.402440918","131167.402669697","129165.103899208"
"M120.039T532.2","120.038971051916","532.169982910156","238578.452607341","222653.863277363","253975.477946556","266537.500124465","271701.766827521","404229.295872332","457711.206680413","415109.459108755","645086.916585168","643939.881124914"
"M121.0297T233.9","121.029718835199","233.884841918945","24062.5122409192","14543.5935992031","13683.2660827528","16030.1169475494","15038.8548048963","33539.1162321713","35256.9922069957","36097.87247886","35350.1380710809","76299.2249140598"
"M124.0408T58.4","124.040758803778","58.3680038452148","0","0","450.204401550271","137.758597738575","0","19496.2836883894","17811.2570334374","16223.529965777","17256.1045967823","18067.3345990843"
"M128.0355T32.9","128.035505790545","32.9179725646973","62814.412759052","64146.3905566454","61722.2474451626","63462.9294608295","66697.9550694409","116674.650408332","109254.277092874","119480.421970397","106904.948120966","114967.557901028"
"M129.0195T35.3","129.01954358589","35.3000259399414","9724.86687032064","7425.04000478589","8501.64909478848","8918.60586740709","7227.26911790429","41093.0922147583","33470.3533863353","46424.2733745168","44074.8264137847","40886.9746831435"
"M129.0561T87.5","129.056125270323","87.5017013549805","2718.00216742697","1727.82780287754","1634.34731358589","1446.54486897859","511.116436414291","17764575.4889501","16838159.7464192","16725340.0878908","10804769.0023956","17119291.2642452"
"M129.0561T74.8","129.056129710815","74.77300000002","828.263315380152","544.287072547068","211.396578980521","1010.1289570611","756.099662097792","6437338.05619238","5870132.07608318","6074814.85125807","6057569.40179838","5969872.57180123"
"M130.0513T34.4","130.051325375295","34.3950271606445","971.621068509168","1891.98531098507","1166.91037165188","1424.1315189386","818.365449028246","53464.9529397217","55437.2225568787","57159.4584295259","57074.6894965685","57355.5211756348"
"M130.0593T87.5","130.059256067697","87.51199999998","137.268606497968","0","0","192.943470503347","231.694770230288","1163668.0507331","1151972.8682462","1147344.60357852","735237.807954017","1152555.65769161"
"M130.0593T74.8","130.059328843727","74.77300000002","141.226976810961","192.914426349978","234.936045475119","200.712955699706","167.431869385865","419861.859976408","404650.847359036","423487.324140163","419923.876272496","401856.217855527"
"M130.0662T252.5","130.066209036304","252.497482299805","0","0","0","0","0","34331.9186410709","32914.0278362455","29922.0740881348","34417.8089797852","31000.842711652"
"M130.9288T688.7","130.928777644245","688.680908203125","318291.386166447","334899.497809274","307310.676726435","331975.386271654","347154.347492738","251584.87157703","249517.305356194","250875.356247846","253127.729348575","251442.929400276"
"M131.0714T102.7","131.071364926261","102.727432250977","974.085696213823","174.206076292554","988.862494103494","688.063091936463","669.880925062229","105135.961681065","112391.865961939","108010.353308269","106571.849343859","116710.642568752"
"M131.0713T148.2","131.071309141053","148.174774169922","1413.68387982424","1549.68734572729","1548.65631435299","1914.48727271054","641.446797560202","231054.800051478","230367.000705361","231676.591242328","222513.353383242","232900.92237075"
"M132.9235T688.7","132.923456922933","688.680908203125","5945887.20635273","12595432.7125768","5791079.7591455","4997090.49413967","10325375.5362188","4681620.44622338","4665445.19134291","4756270.20315434","4838140.24141199","4678139.11452418"
"M132.9233T668.1","132.923344993113","668.05517578125","2801765.09565778","2439993.07079293","2770133.02549642","2868640.56126996","2534793.00764652","4140616.00643382","4129267.32766544","4083039.30987471","4284458.44208437","4280697.74008123"
"M133.0507T34.4","133.050745308236","34.3950271606445","1925.18942799615","442.872049652539","2698.12815400726","1147.29005077814","589.459277829423","53133.6660415056","47669.9417037868","52599.9054073033","56176.7084828593","52268.7514929109"
"M133.9235T688.7","133.92354079562","688.68100000002","749221.907052709","637489.679447338","654685.276207879","683952.092196889","687694.67605104","593866.781670065","580568.534503804","592640.342371323","598345.025078269","590905.11151625"
"M133.9235T667.4","133.923488979355","667.449829101562","554453.29814537","415866.8740447","498440.995299228","532745.827924523","550690.623471867","489651.235638172","511178.590985466","527069.482010156","522159.780309341","521071.693706247"
"M137.0248T239.9","137.024812439713","239.871459960938","10552.9452102208","12834.2807280395","10294.7542632428","13007.9765168159","7961.75090531401","11377976.4570352","11432529.1826451","11410014.6486166","11394831.0904819","11645625.1638983"
"M138.0196T214.8","138.019570622872","214.80451965332","62024.2173763752","53757.0135393588","63319.8364597133","58383.0598847492","66117.9488174342","104733.787646535","104165.664247631","107285.396991952","109169.490734341","107302.018641837"
"M138.0278T239.9","138.027796591986","239.876174926758","0","0","0","0","0","788039.581788001","796546.990417353","770055.26621338","761488.47400694","744061.833926366"
"M140.0099T480.6","140.009898282545","480.60700000002","335576.36746415","322523.086189114","335179.713155486","326000.564384105","293843.547204658","272298.420696411","266115.998964373","281996.191413282","292222.814486098","278563.466300977"
"M140.01T636.5","140.010047611957","636.51199999998","944710.24884635","995149.088759865","995951.8589625","933206.580991208","1089577.38404688","1497403.86994018","1075321.40720226","1427894.5950285","1207292.13658526","1197894.66879845"
"M143.0712T224.6","143.071189737912","224.60800000002","817.833582232481","870.120086075179","1568.05008622336","1492.56080105714","1555.0556295149","37499.9232869915","32056.4419386801","35062.9880994196","40455.7477577633","29487.5094403449"
"M144.0455T209.4","144.045456351623","209.425415039062","380.714134953704","172.222150976008","350.502544579773","227.420717969367","0","20579.2989950835","23780.3299742758","20771.4576979691","22760.8971057634","26822.0715961474"
"M144.067T35.6","144.066968166582","35.6077346801758","1681.45072271426","2220.8088631572","1133.87100768668","1409.98244459666","894.064961807505","74694.4813771973","77339.0972146824","77775.0729776367","72955.8583122881","72150.3928671557"
"M144.9233T687.5","144.923322334459","687.468","809933.659897614","756111.015624069","787167.266383571","804188.207084102","835993.856234765","724788.984101274","699090.51133459","723842.397585038","732798.508821679","712018.43866309"
"M144.9234T636.5","144.923439813732","636.510559082031","446035.135755802","489071.632922271","398331.133861312","502990.485998187","422661.044740381","842560.069728393","543755.798261807","557927.740628086","576166.857067198","549939.232330061"
"M145.0869T264.6","145.086910619564","264.603271484375","23651.9390799069","22571.7413446577","20197.0912754239","20219.8288883836","22262.3406249692","61966.1756539306","62358.474094821","64206.4824661896","77226.7018646346","62231.9418667045"
"M146.9835T33.1","146.983452351841","33.0512771606445","0","0","0","0","0","767071.791573006","783527.552515086","798009.39757597","808778.712760506","747607.289756735"
