"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","matrix","nist","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","isotopes","adduct","pcgroup","meanpeak"
"55",132.101899981534,132.101886261577,132.101930742815,59.5949287414551,58.9889526367188,59.596004486084,5,0,5,16910.0462403786,20482.2635645604,30341.8832148963,22517.3601251893,21985.3171886711,3634684.73411337,3567799.19226017,3788942.84601563,3790757.11252725,3796859.94919922,"","[M+H-CO]+ 159.091","41",3715808.76682313
"56",133.105488068723,133.104950587558,133.105609643444,34.7240028381348,34.117733001709,34.8096160888672,9,4,5,25641.7405335545,26971.8073454223,30168.1481171737,26283.5537081201,29422.7500606174,1716307.65174489,1766875.02510075,1806109.03547545,1777447.05575047,1815889.9514424,"[3][M+1]+","","10",1776525.74390279
"57",133.122122089678,133.122012360531,133.122172264041,424.265274047852,424.175964355469,425.099914550781,10,5,5,59656.259654161,55573.2992229847,57687.1005248307,53074.3500784423,59655.2471849053,57490.5224871225,59416.5204786133,53241.0920046672,52269.4436220199,52314.9935224117,"","","59",54946.5144229669
"58",134.107003479783,134.106927324829,134.107027786582,34.7240028381348,34.723991394043,34.7250022888184,5,0,5,1450.60106326605,1642.99764029172,986.431685444538,NA,1041.85386807695,151903.623666062,148641.879180985,152242.751620919,156281.796527136,159636.291900825,"[3][M+2]+","","10",153741.268579185
"59",135.002934267905,135.002916815134,135.002997170146,32.9040031433105,32.2980003356934,32.9050025939941,5,0,5,NA,NA,NA,NA,NA,1180912.56464465,1347216.6544867,1214050.32817167,1177431.46727695,1239942.32143626,"","","939",1231910.66720325
"60",136.074784664131,136.074612986342,136.074970237681,33.5109977722168,32.90500000002,33.5110015869141,5,0,5,1050.64012765252,1113.81428428202,1448.47091091915,2417.25376133321,1230.70342649537,34698.8107629982,42909.1332221572,41310.0036593262,40020.3810239518,43808.8014126688,"","","274",40549.4260162204
"61",136.073086812762,136.07290634819,136.073207555333,62.3253479003906,62.0219345092773,63.2360038757324,6,1,5,24211.7767195803,14796.5479016289,16751.0859875242,18628.5235110366,9069.96194166325,167339.972896531,143350.322418018,124374.26365387,126892.319450226,124915.089390808,"","[M+Na]+ 113.083","1005",137374.39356189
"62",137.132126054451,137.13205576045,137.1323431217,219.747055053711,219.747,220.353454589844,5,0,5,210.730808079458,157.897669903568,NA,NA,158.595075128267,17919.892621158,15515.4995787635,14524.4967573719,15160.2997210336,13355.1611328508,"","","1645",15295.0699622356
"63",137.523243984764,137.522960242745,137.523324705625,314.379058837891,314.378997802734,314.985229492188,11,5,5,53075.6786079712,55464.3346871613,49908.4910733415,61536.6050197061,58655.3805639652,78058.0429273661,78004.6414004692,98264.0768160446,62388.6231501833,66906.7738342539,"","","22",76724.4316256634
"64",138.033545578122,138.033319774102,138.033841659848,284.655181884766,284.654296875,285.262023925781,5,0,5,4444.70645986005,1511.88283507872,2407.88730297806,3863.85478717824,3708.73152687986,27076.8532447216,23633.6499291137,40802.4339479812,30018.0197619545,23963.9384427266,"","[M+H+K]2+ 236.102","77",29098.9790652995
"66",138.549033146347,138.548919261566,138.549307891984,336.824096679688,336.82399999998,337.430969238281,5,0,5,NA,NA,NA,NA,NA,19541.1054881036,19387.7204039422,25373.621685124,17410.8997999734,12677.2149196482,"","","1467",18878.1124593583
"67",138.906244509366,138.906144699361,138.906353750418,32.297004699707,31.6910018920898,32.2980003356934,5,0,5,NA,NA,NA,NA,NA,101600.819710693,113031.449588672,96738.0842269484,91072.7429215366,105394.593281482,"","","940",101567.537945866
"72",140.068236477593,140.068233099721,140.06825832982,577.048400878906,577.043884277344,577.653137207031,5,0,5,1095415.64617509,1090536.92823286,960030.258134266,1100341.164534,875225.510851566,2579610.64155967,2487584.5849332,2398362.28784483,2417352.77127802,2383381.28755603,"","","12",2453258.31463435
"73",141.090396808928,141.089983529474,141.090559007963,293.754150390625,293.148,294.361083984375,9,5,4,14267.1641649911,17237.979647312,20433.9057772023,20355.2633184901,20842.2287000111,16498.8163924153,20135.070817737,20526.9558935883,11870.3601413302,20484.0578019794,"","[M+H-H2O]+ 158.095","1233",17903.05220941
"74",141.109722819379,141.109517988438,141.109739175548,43.8229904174805,43.2169990539551,43.8240051269531,5,0,5,1576.92143085097,440.915137674054,942.590195540323,1656.90540466283,430.695961586727,76764.2300016481,67789.6246727051,76563.9531665754,78715.018242071,76107.672518886,"","","35",75188.0997203771
"75",141.958589870611,141.958561521945,141.958603360411,624.363,624.362915039062,624.969909667969,7,0,5,4512265.96217833,4354199.41722863,4373420.42658648,4433681.56694873,4153767.67138274,9860002.16899162,4043832.53257894,3780654.1311707,471906.770914021,296307.932531247,"","","27",3690540.70723731
"79",141.958812016401,141.958715553669,141.958905726416,447.86572265625,447.228302001953,449.04799999998,8,3,5,5657441.12356758,9348779.42813879,6515983.58757057,7237207.02932705,4532743.98298124,5044499.36520834,5840500.0271766,5710716.50894326,4486051.43396374,5089289.9479875,"","","858",5234211.45665589
"80",141.958635916664,141.958601169612,141.958650304398,495.152069091797,495.15100000002,495.757995605469,5,0,5,NA,NA,NA,NA,NA,3492052.12238631,3480559.3093143,3497551.77128396,3388474.93636471,3536946.24621229,"","","889",3479116.87711231
"81",141.958609606998,141.958555604909,141.958627946263,609.804,609.198059082031,610.411071777344,5,0,5,2774111.15155896,3675689.33123267,3621825.31755476,3289262.92343519,3252262.15142459,3370811.0568803,3203794.93103436,3377197.55167613,3338877.38734303,3778716.45984229,"","[M+K]+ 102.997","12",3413879.47735522
"82",141.958721928913,141.958701162433,141.958742481311,542.46799999998,541.86083984375,543.074768066406,5,0,5,1942161.45910814,1993924.54859619,3986483.5270284,3421295.15762577,4649823.35325221,7184970.66693474,7643735.48731795,7403632.64176462,7126271.04492187,7377238.01905312,"","","871",7347169.57199846
"83",142.938473714064,142.938433986969,142.938566928059,604.950744628906,604.34500000002,604.952026367188,5,0,5,20911.2287669728,17716.4477447392,17399.9456226026,20445.5734620257,13528.7701834974,167993.270429655,98052.6697208459,177945.076307768,108858.7741642,104671.256533275,"","","12",131504.209431149
"84",142.93889365866,142.938834281605,142.939069251503,34.72399999998,34.1180000305176,34.7250022888184,5,0,5,NA,NA,NA,NA,NA,219009.206271258,230118.552433301,224077.700760801,222387.620264544,219947.198194196,"","","10",223108.05558482
"89",145.017156953791,145.017114548134,145.01717121215,577.046142578125,576.441467285156,577.652099609375,5,0,5,592646.723893619,739548.648897836,675142.265143141,663346.935427622,631090.689512809,803620.333280859,852380.500755393,871591.824924568,815767.776332974,823948.454427801,"","[M+H]+ 144.015","12",833461.777944319
