"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","matrix","nist","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","isotopes","adduct","pcgroup","meanpeak"
"110",177.128393685344,177.128247120385,177.128453545785,274.320678710938,274.292602539062,274.35499999998,5,0,5,296.111173042826,217.276264774347,142.673369486131,151.556527411446,NA,34960.8541296636,37129.3762239969,33135.4704946875,33597.9876647649,36971.0038588091,"","[M-H-CO2]- 222.123","136",35158.9384743844
"118",179.055318791381,179.05526294321,179.055433871285,78.2808227539062,78.2008361816406,78.8211822509766,5,0,5,NA,NA,576.172077619574,NA,392.514002710684,230998.904378613,227189.627099675,239022.711044855,222779.173622872,220577.554607192,"","","113",228113.594150641
"119",179.070961385729,179.070749370824,179.071077175592,368.98699999998,368.986785888672,369.594787597656,5,0,5,520.668337505311,539.370503783226,NA,597.386536356993,424.170145265758,46177.7106529705,40587.3482800594,43871.1941330179,50797.5327280007,45396.5408909791,"","","51",45366.0653370055
"120",180.102832037785,180.102699444465,180.102881289304,336.22999999998,335.624847412109,336.230041503906,6,0,5,335.713842623262,NA,NA,NA,NA,125020.240192505,128823.790522293,117730.672703391,121440.36347827,119367.820794804,"[10][M]-","","623",122476.577538253
"121",181.037037432536,181.036922103109,181.037185698217,35.0445327758789,34.73599999998,35.6077346801758,5,0,5,NA,526.952640039425,150.014521790806,NA,NA,21803.6444049008,21939.0538001645,23026.450123969,23865.5038682589,22459.3700460292,"","","596",22618.8044486645
"122",181.106147650733,181.106017145793,181.106423755186,336.230010986328,335.623504638672,336.231781005859,5,0,5,164.235578486302,NA,NA,NA,NA,13016.7696797144,12584.2438425017,11428.8208625678,12835.3570680043,13716.4743156415,"[10][M+1]-","","623",12716.3331536859
"123",182.045941978767,182.045863328484,182.046133950882,34.9688949584961,34.73599999998,35.0446472167969,5,0,5,NA,NA,NA,NA,NA,37290.2663311322,36989.6414247232,39719.5034477895,37932.3771831299,39437.6166859131,"","","597",38273.8810145376
"124",182.988628348146,182.988517326212,182.988683639263,198.023101806641,197.890182495117,198.060333251953,5,0,5,29093.4367685761,22785.432442209,30128.6184044564,28143.449703288,31624.1013835361,112127.073979526,107632.432831661,114490.164653926,107322.820799737,107698.068562247,"","","1154",109854.112165419
"125",183.066175708654,183.066150765475,183.066459216102,260.962249755859,260.402015625,260.966613769531,5,0,5,459.892092032824,1225.17233309258,1040.89990863151,454.258966341796,756.801952690779,32396.3932745251,31370.4380015161,28130.6119224459,30161.4336605783,29049.2862519477,"","","1129",30221.6326222026
"126",183.138867815141,183.138769448486,183.139051240983,362.92099999998,362.920104980469,363.525268554688,5,0,5,1046.17166758956,1315.84603347276,2363.60496972541,1637.69320477781,1702.04438435796,106659.797435006,99207.7609303755,101822.388587198,102903.010389012,96875.0628648559,"[11][M]-","","656",101493.60404129
"127",183.848550048978,183.848389993293,183.848654778675,43.8756408691406,43.22899999998,44.0847206115723,5,0,5,NA,NA,NA,NA,130.10555924885,145760.349191137,138573.06357514,135213.401273291,125507.922852539,126279.956201001,"","","566",134266.938618622
"128",184.142354334406,184.142089595452,184.143053290756,362.9208984375,362.919311523438,363.52699999998,5,0,5,NA,NA,NA,161.357772187892,529.820609870726,12732.2120519714,11857.5934196557,15091.2204235358,13142.8348196189,12173.1693281433,"[11][M+1]-","","657",12999.406008585
"129",185.043268979385,185.043087581685,185.04334286695,64.6196517944336,64.4297180175781,65.067,5,0,5,NA,130.096815073901,314.524034829603,NA,1814.76615923051,61177.8480075648,65139.8212723964,70461.2144919617,63102.7456634059,64450.5461144751,"","[M-H+NaCOOH]- 118.063","38",64866.4351099608
"130",185.097434984695,185.097320582384,185.097691154549,335.623001098633,335.016,335.624847412109,6,0,5,NA,NA,NA,NA,NA,64390.2463303892,62845.7174671916,59406.2944514704,60357.4461374221,62945.114417145,"","[M-H-CO2]- 230.092","116",61988.9637607237
"131",185.118135210104,185.118068527249,185.11829811165,353.821258544922,353.82100000002,354.427001953125,5,0,5,766.664959534082,1431.38117280825,1841.195000888,1452.743175268,1152.19151131885,203653.725501482,202681.357474657,213878.910911446,200562.843473588,204225.262133991,"[12][M]-","","1107",205000.419899033
"132",186.121474039551,186.121410319862,186.121596221828,353.821258544922,353.820037841797,354.42799999998,5,0,5,187.55540751107,217.398260168731,994.516565208289,180.85604067202,280.004440614333,20987.2969860845,22807.2530479163,21901.3596800903,23080.3436845567,25367.0000667726,"[12][M+1]-","","1107",22828.6506930841
"133",187.007729648212,187.007712180638,187.007759626004,110.564002990723,110.554626464844,111.16999999998,5,0,5,NA,NA,NA,NA,NA,27299061.855022,27323956.4994373,27300083.7110591,27264463.4405807,27571166.5970464,"","[M-H]- 188.011","3",27351746.4206291
"134",187.014526607572,187.014259716656,187.014657846571,75.0830917358398,74.5576324462891,75.37999999998,5,0,5,156.633050798904,NA,NA,248.132969677448,NA,37780.5125606364,37268.7007045984,35824.1134910411,35798.8513560995,39732.7043817918,"","","20",37280.9764988334
"135",187.039743877614,187.038997669982,187.040296289339,361.707,361.100952148438,361.709167480469,5,0,5,NA,NA,NA,NA,NA,11836.6562263997,14543.6228881834,12383.1516154175,13977.2791938992,13298.6758679988,"","","660",13207.8771583797
"137",187.133790594827,187.133504564691,187.133903110088,381.119262695312,380.512756347656,381.727691650391,9,4,5,21141.9002935547,22753.375768565,16331.8185271495,22186.6701491561,20371.5007375284,196673.987496747,194116.917723513,188576.254689543,187411.865625166,197449.175364733,"[13][M]-","","117",192845.64017994
"138",187.133790667796,187.133759460725,187.133905129729,358.067352294922,358.066711425781,358.068054199219,5,0,5,9312.38527983559,15945.3102499735,8662.97459056535,10577.8868035462,10887.8642215087,158141.00962766,157106.596622388,156520.490001514,157013.70725154,156648.079465592,"[14][M]-","","649",157085.976593739
"139",188.137334901426,188.137126566593,188.138370195158,381.119140625,381.118774414062,381.121124267578,6,1,5,1697.13508333717,3438.04125323675,1148.73683345003,697.246875112211,517.755802852417,22101.5301493595,21451.3570947326,21371.6334236902,20291.3669913402,19529.8802616575,"[13][M+1]-","","117",20949.153584156
