"","mz","rt","GD_010_NIST_RPP_RRHD_B1.mzML","GD_011_NIST_RPP_RRHD_B1.mzML","GD_013_NIST_RPP_RRHD_B1.mzML","GD_016_NIST_RPP_RRHD_B1.mzML","GD_018_NIST_RPP_RRHD_B1.mzML"
"group","mz","rt","nist","nist","nist","nist","nist"
"M456.3316T346.5","456.331619796951","346.53","103869.642524026","102898.869244444","102512.064218218","104161.605104663","105122.554569992"
"M458.8018T535.2","458.801766319807","535.188","98253.7518438116","95090.7996132582","97429.9403408282","93032.4603507901","93093.9004059835"
"M464.3139T525.5","464.31393216584","525.483032226562","126649.860625102","123191.485160873","120250.633219559","139318.596463595","111889.559612023"
"M464.3736T617.1","464.373553566532","617.0830078125","705230.420064359","709445.171864662","539427.377599168","544009.937758923","526584.955002762"
"M466.3292T558.2","466.329182715723","558.239807128906","265494.666056457","267590.380212048","267518.067502331","267524.834810455","269192.608277563"
"M467.3479T373.2","467.347864603899","373.221","18669.2166012857","15833.1400216918","14805.7746367328","15898.7158074702","17864.3119939192"
"M468.3092T442.4","468.309185230505","442.37599999998","2838366.60349865","2908305.08820744","2833253.13467861","2864967.60792753","2886428.52953462"
"M469.3286T597.1","469.328571838932","597.065734863281","782583.175824083","774071.532296058","807924.6147011","791599.263836262","771689.191507187"
"M469.3884T584.3","469.388369695505","584.325256347656","949297.146751521","867698.11575416","939354.238153551","941949.467772757","928723.706660014"
"M471.7382T221.6","471.738208491468","221.567123413086","220564.199668524","214140.381712532","214987.315393066","221332.360354133","226206.546988207"
"M480.3097T505.5","480.309692987717","505.464065551758","2099331.71808814","2087011.49530587","2090442.99056739","2078243.80456877","2072491.96390095"
"M480.3436T507.3","480.343638317695","507.284088134766","1905337.06319268","1910777.59135723","1821229.33037289","1896188.66231661","1819112.30338537"
"M482.3244T464.8","482.324440063687","464.821007202158","1367502.06408025","1412424.20768573","1379139.30603479","1374211.97646558","1377380.7189122"
"M482.3608T506.1","482.360820639844","506.071075439453","1824270.87900543","1824463.35712503","1791395.56223015","1807499.05474498","1804578.56143249"
"M490.2904T442.4","490.290374924064","442.37599999998","445865.475056674","461574.238971782","430858.868205299","473695.018136718","469788.380432044"
"M491.3707T581.3","491.370734019624","581.293273925781","1663962.93030404","1644188.2974242","1701760.1201912","1598146.09668674","1579294.92538317"
"M491.3706T600.7","491.370570018756","600.704772949219","1511367.19367695","1444556.27535765","1534287.54444252","1487543.86003081","1526634.11550937"
"M494.325T456.3","494.324966396307","456.328002929688","7883068.79542723","7869246.57337594","7774973.91417977","7984124.81614264","7871807.9560518"
"M496.3428T487.3","496.342765671223","487.265991210938","115493238.481386","115368407.365987","114890611.080771","116024822.151147","115284134.981146"
"M507.8281T487.3","507.828061502314","487.265014648438","74254.6502873084","73101.9099122775","73228.3393932335","72929.600789687","66248.1715841057"
"M508.3762T517","508.376192584435","516.990051269531","1098312.00609326","1114360.61686132","1095974.81567948","1108493.74234995","1091599.65070598"
"M510.3561T508.5","510.356058418644","508.497039794922","3119997.82041996","3086715.54599691","3073261.59068016","3111369.06508315","3089038.49666582"
"M512.3344T359.3","512.334404283863","359.268371582031","449347.156306996","471367.148154764","458789.244622623","499641.489713178","486536.878576539"
"M515.3142T487.3","515.314202232411","487.265014648438","1639485.75224536","1681299.7723161","1763697.82827245","1624844.64213919","1599642.69914903"
"M516.3062T456.9","516.306206083625","456.934509277344","1415866.4560731","1434779.85669654","1246755.46716074","1280408.01009172","1295810.35683924"
"M517.3861T604.3","517.386094383449","604.344848632812","1638169.54700537","1637436.14371361","1057888.44263944","1071542.80235942","1045734.60690759"
"M519.4018T629.8","519.401817501707","629.823","1106483.30062828","1087230.25897493","1195477.04078805","1123701.47121518","1145789.56967765"
"M520.3419T473.3","520.341874425199","473.313","58541367.86254","58611988.8969388","58216494.9430024","58882102.6488784","58951006.5566203"
"M521.4197T580.7","521.419699313958","580.686279296875","630662.957582742","907501.923293773","638080.37944099","636567.490458207","640326.179494318"
"M522.3571T500","522.357062678664","500.005004882812","48641954.834141","48708886.3630478","48207467.8264547","48419533.1111052","48465926.930415"
"M531.3238T473.3","531.323754554367","473.313018798828","98283.5892204878","104466.374269765","88210.2423208026","96157.4537865338","95596.358292095"
"M531.8261T473.3","531.826083959076","473.313018798828","46090.6150882508","53303.0897499509","55620.0170690665","51682.2994847455","51403.186745539"
"M532.3374T508.5","532.337389346596","508.497100830078","832424.994518258","848406.896960491","818556.660982541","814031.716447285","811517.385939385"
"M534.797T478.2","534.797015349597","478.166229248047","90315.7017076334","82871.7338480986","85477.2351918902","77371.2975399702","83500.8761920167"
"M537.4125T577","537.41251072653","577.046081542969","152438.31023625","151832.635880928","155442.365829712","150241.477890065","153774.127314401"
"M539.3141T473.3","539.314104645417","473.313","976584.3780743","996973.813654444","1059046.38749136","981222.821720182","940741.7928674"
"M540.3654T399.3","540.365368890042","399.305999755859","83106.1582408232","85141.0652093326","87092.2739746991","92638.9404027273","89066.0157570314"
"M543.3457T531.5","543.345669077122","531.549011230469","1107034.15484314","1113429.117521","1230176.57127071","1131583.90119187","1158287.59714615"
"M544.3405T475.1","544.340546647059","475.132873535156","12701825.2235445","12602675.1179718","12524883.8146462","13249680.0441192","12675495.3407446"
"M545.4168T604.3","545.416794028351","604.345092773438","602502.077405191","600269.942379266","409042.901642062","405056.966478516","588537.973592314"
"M546.7984T473.3","546.798422353665","473.313","302996.8895625","286153.269344384","286761.349309453","272944.116499437","274971.766301146"
"M550.3347T531.5","550.334747092116","531.549011230469","99348.5081212148","107817.308225472","110291.47411086","101427.508313108","105021.481265926"
"M550.3865T540","550.386506646419","540.04099999998","501428.781696995","500325.526101687","499028.209470118","488185.240190712","494133.675951256"
"M551.3135T473.9","551.313499761954","473.920013427734","331152.100903869","337143.731536669","334010.373150585","319998.245497802","323510.754965121"
"M552.4023T574","552.402330365653","574.012023925781","192247.50840332","205321.10654739","265480.124036726","173319.636503148","156296.299092813"
"M558.2949T472.7","558.294880867005","472.707","371917.45011006","363048.480492588","354984.730342378","365391.241155616","363883.402351128"
"M560.3097T500","560.309667990867","500.005004882812","446941.641837506","444241.106122701","421304.085774507","426732.573975586","416427.636417944"
"M561.4126T580.1","561.412586359176","580.079223632812","2691216.4470414","2738336.05368095","2417512.51371674","2501689.44488525","1983036.36823968"
"M561.8197T531.5","561.819722027222","531.549011230469","92954.310283365","76985.9271211559","75996.6717985779","79730.9482337246","90700.2346108196"
"M562.3252T531.5","562.325245902451","531.549011230469","482863.276161239","472594.054118717","410656.306092398","440753.641958699","475719.448350545"
"M563.4282T595.9","563.428249246388","595.851623535156","3654041.27138892","3638362.48515326","3699665.13129294","3694501.98927659","3676566.90311943"
"M566.3219T475.1","566.321947371225","475.132995605469","2105146.93312359","2095889.85635274","2020831.81258899","2049519.84024478","2041937.80687085"
"M568.3399T474.5","568.339851231058","474.526565551758","1804839.82693392","1825290.83424803","1823497.77391743","1851784.48291777","2563885.92727677"
"M569.4173T606.8","569.41732130641","606.76708984375","511799.566340616","356066.074421776","356615.52267217","355146.833594828","347172.751051452"
"M572.3706T509.1","572.370645865144","509.10400000002","384227.443467908","380253.715302847","383569.382699303","389282.304675302","387854.454854067"
"M573.4486T637.1","573.448551633805","637.101867675781","332604.41215349","342026.227242773","349426.721783215","359570.565356742","354589.6738181"
"M574.2599T472.7","574.259859221936","472.707","254398.682653584","253632.178607079","266777.955380737","247093.017201599","242759.099592321"
"M581.4538T689.3","581.453775850221","689.27099609375","83896.8166521153","84597.7425895079","81589.9871820484","84737.953588184","86324.4727447968"
"M584.2634T551.6","584.263372182577","551.56699999998","2955015.49640284","2905701.85319244","2882456.27118346","2878484.28176796","2840721.85397606"
"M585.2698T381.7","585.269825349487","381.713745117188","212928.402490184","253284.557359863","229957.120462677","235131.23935569","232389.231133251"
"M587.1172T240.4","587.117186340722","240.372","54410.6206622131","51685.6907208124","39639.0171443626","57036.7255260224","55724.1015047291"
"M591.4593T605.6","591.459312445785","605.55799999998","1107957.38175938","903982.288243911","1106108.27339619","1154522.46142854","887907.935970531"
"M592.3339T496.4","592.333914109752","496.364990234375","75276.9560152937","81165.2701339928","80069.629678833","81718.6459366588","79023.0809918928"
"M592.3683T305.9","592.368306588118","305.88700000002","32037.7545202821","29867.3816690343","29645.9382598944","29907.0213905755","31183.2937149478"
"M593.4711T561.3","593.471064169011","561.273","266716.838828341","288423.234530955","231194.38019511","220414.635170729","220750.770268992"
"M595.434T606.2","595.434004111856","606.165","180282.375613942","175005.318148663","174899.003725608","170588.666384633","177230.253417071"
"M595.4929T612.8","595.492860214067","612.836975097656","1130065.77204106","1100213.02308218","1088214.09583359","1094092.54459339","1079158.66573697"
"M599.4639T637.7","599.46386545479","637.708923339844","903341.393155112","895690.01023028","950843.641971916","900640.140414009","917400.519836125"
"M601.4797T688.7","601.479720900674","688.665","135685.170761463","130048.107617355","137062.20573718","136750.95844596","132677.368253753"
"M601.4789T636.5","601.478863975226","636.49600000002","794509.172566658","756358.683982885","850379.539533933","494634.698486718","487793.887832815"
"M606.3074T500","606.30735170063","500.005004882812","181631.829838945","189244.241484063","192533.966318784","180458.527119967","179737.03791307"
"M608.386T531.5","608.385956070126","531.549011230469","236077.831193595","228656.200962591","250546.021024329","238950.300536148","231569.878697392"
"M611.368T557.6","611.368020064963","557.63299999998","112138.64185392","113150.900461016","116404.627245652","110741.339873821","109028.647838672"
"M613.4433T594.6","613.443261985449","594.638549804688","377540.353762689","320752.171798933","328669.323037927","303139.158683473","320956.495735515"
"M614.5342T627.4","614.53419478311","627.396148681641","95200.7286814655","154350.62988327","85330.0417904059","96198.507953514","84367.5096621098"
"M617.4753T612.2","617.47534403892","612.23095703125","7164036.5054273","7116192.56396079","7118043.47602146","7132052.83391926","7059330.1096177"
"M619.4916T635.3","619.491562590446","635.28199999998","6566268.86255966","6551264.7000368","6811104.439565","6832654.30397177","6791930.63740621"
"M623.2179T552.2","623.217941382844","552.174","420926.552041508","430730.012922543","433628.845633441","404895.202476828","408078.949249312"
"M637.4801T733.6","637.480087963778","733.556518554688","68245.8593964171","66490.1097023254","66928.2583513809","65450.5414737391","65354.9808345121"
"M637.5007T606.2","637.500676323069","606.163818359375","237814.701905747","167703.552150932","235951.920877754","230064.273455014","231275.155098055"
"M639.4072T456.9","639.407216237985","456.934754638662","53070.4141952871","51523.8108882471","69625.8957476401","70639.2980733597","70351.9192424266"
"M643.5275T768.7","643.5275214535","768.739471435547","1075081.48218017","1022139.44220982","1058060.67241377","1038590.76846181","986876.137672907"
"M650.4376T520","650.437632932856","520.023071289062","210519.659817683","211143.112652571","250304.373323158","248980.591694596","247158.394131506"
"M656.631T796.6","656.63103265501","796.64404296875","21499.0908889772","19703.7769022363","18852.9693112985","17304.4272437641","17788.8344530519"
"M658.6104T786.9","658.610371516139","786.938354492188","61229.7728682233","57786.4428900145","64396.7592338512","63937.7371092044","58350.4861460299"
"M661.5273T630.4","661.52729927262","630.429870605469","115705.959915459","108381.102222868","100784.250286857","102072.417549212","105040.699495313"
"M665.4412T562.5","665.44122518734","562.486755371094","73640.2416703038","70074.5321948103","58979.8568620989","97353.3168720266","99186.8457093105"
"M668.5306T764.5","668.530644682797","764.49400000002","44781.4811678435","41433.1995221244","41799.6336284438","41879.451456279","46772.2398464923"
"M668.5948T768.7","668.594823348554","768.73999999998","98892.5382968748","97175.5294727946","90816.9281548121","92783.8895676559","88903.8865559492"
"M701.5606T656.5","701.560618325069","656.513916015625","16289792.5095013","16286672.7773745","16168958.4600105","16092755.8572494","16072631.1893556"
"M703.5767T677.1","703.576696292959","677.138988525391","33368459.8146681","33104378.7444072","33318619.5304429","33164199.7070765","33263472.6212907"
"M715.5649T677.1","715.564910002343","677.138000488281","101364.039227302","107586.050144768","109595.927993761","127787.937101016","115245.345375344"
"M715.5734T672.3","715.573378470584","672.285461425781","261477.396965844","267206.710300857","261475.122097297","268512.365174512","276139.819742671"
"M717.5901T691.1","717.590056502845","691.09099999998","357483.892459565","345344.943006768","346833.520238816","352181.117724452","347168.058614294"
"M727.5105T660.8","727.510504734252","660.76000000002","83967.1613630848","89821.0190368561","88338.1052818715","88168.3097045458","91385.3985257034"
"M727.5743T668.6","727.574330106459","668.64697265625","1278460.75026633","1502759.20841015","1251680.78793779","1317733.09049881","1438454.77990504"
"M729.5253T680.2","729.525296993897","680.17236328125","71266.6320084945","78428.1205447501","73134.6498383785","71203.2663543216","70520.5987779084"
"M729.5914T686.2","729.591429424787","686.237988037109","2878226.21614922","1330503.07539945","2882224.29101329","2863837.2413894","2850975.04371875"
"M743.4463T537.6","743.446275983331","537.614929199219","32249.5536470568","31432.0880241467","33672.9204703127","32575.1452486953","32035.4807703112"
"M746.6053T728.7","746.605335171061","728.7030625","891755.179546746","882576.398791753","878219.750562662","887330.12480156","879328.567878362"
"M746.6194T719","746.619378475584","718.996948242188","23295.1295852958","27299.771685132","23661.197265866","23456.8949316408","25187.4880981447"
"M748.5271T713.5","748.527071884822","713.536743164062","141794.057190083","140834.993053778","139982.67195733","144290.296123729","154408.522085205"
"M748.581T716","748.580962422968","715.963134765625","43565.4099260678","49874.3595209878","62211.9204933654","45762.1988146916","48404.4530938688"
"M750.5404T739","750.540421932255","739.014404296875","116196.691379147","110989.125412316","116195.63663636","112568.022807098","107966.416117834"
"M750.5429T720.2","750.5429308126","720.210021972656","305490.44651165","304641.538841023","296276.697538039","302763.625104568","294029.412100862"
"M752.5586T737.2","752.558561412476","737.196","531772.52120922","534068.491428958","525052.228293911","524032.36651253","523812.191045124"
"M756.5551T680.8","756.555145520001","680.778259277344","9640223.24490657","9530740.33488161","9407979.63262687","9339591.30543281","9374725.96181668"
